loan_amnt,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,purpose,loan_status,dti,installment,home_ownership,verification_status,emp_length,addr_state,Income Band,Default
2500,2500, 36 months,13.56,C,C1,55000.0,debt_consolidation,Current,18.24,84.92,RENT,Not Verified,10+ years,NY,Medium Income,0
30000,30000, 60 months,18.94,D,D2,90000.0,debt_consolidation,Current,26.52,777.23,MORTGAGE,Source Verified,10+ years,LA,High Income,0
5000,5000, 36 months,17.97,D,D1,59280.0,debt_consolidation,Current,10.51,180.69,MORTGAGE,Source Verified,6 years,MI,Medium Income,0
4000,4000, 36 months,18.94,D,D2,92000.0,debt_consolidation,Current,16.74,146.51,MORTGAGE,Source Verified,10+ years,WA,High Income,0
30000,30000, 60 months,16.14,C,C4,57250.0,debt_consolidation,Current,26.35,731.78,MORTGAGE,Not Verified,10+ years,MD,Medium Income,0
5550,5550, 36 months,15.02,C,C3,152500.0,credit_card,Current,37.94,192.45,MORTGAGE,Not Verified,10+ years,IN,Very High Income,0
2000,2000, 36 months,17.97,D,D1,51000.0,debt_consolidation,Current,2.4,72.28,RENT,Source Verified,4 years,IL,Medium Income,0
6000,6000, 36 months,13.56,C,C1,65000.0,credit_card,Current,30.1,203.79,RENT,Source Verified,10+ years,IN,Medium Income,0
5000,5000, 36 months,17.97,D,D1,53580.0,debt_consolidation,Current,21.16,180.69,MORTGAGE,Source Verified,10+ years,FL,Medium Income,0
6000,6000, 36 months,14.47,C,C2,300000.0,debt_consolidation,Current,17.43,206.44,OWN,Not Verified,< 1 year,CT,Very High Income,0
5500,5500, 36 months,22.35,D,D5,50000.0,credit_card,Current,15.94,211.05,MORTGAGE,Not Verified,< 1 year,LA,Medium Income,0
28000,28000, 60 months,11.31,B,B3,70000.0,credit_card,Current,22.01,613.13,MORTGAGE,Not Verified,2 years,GA,Medium Income,0
11200,11200, 36 months,8.19,A,A4,65000.0,credit_card,Current,23.6,351.95,MORTGAGE,Not Verified,10+ years,UT,Medium Income,0
6500,6500, 36 months,17.97,D,D1,154000.0,debt_consolidation,Current,28.78,234.9,MORTGAGE,Source Verified,4 years,NC,Very High Income,0
22000,22000, 60 months,12.98,B,B5,65000.0,debt_consolidation,Current,11.19,500.35,MORTGAGE,Source Verified,10+ years,KY,Medium Income,0
3500,3500, 36 months,16.14,C,C4,80000.0,debt_consolidation,Current,13.63,123.3,MORTGAGE,Verified,10+ years,IL,Medium Income,0
7000,7000, 36 months,12.98,B,B5,102500.0,house,Current,15.2,235.8,MORTGAGE,Not Verified,4 years,OH,High Income,0
25000,25000, 60 months,16.91,C,C5,23878.0,debt_consolidation,Current,6.26,620.11,MORTGAGE,Not Verified,10+ years,OH,Low Income,0
16000,16000, 60 months,20.89,D,D4,120000.0,credit_card,Current,27.57,431.87,MORTGAGE,Not Verified,4 years,AR,High Income,0
13000,13000, 60 months,14.47,C,C2,75000.0,debt_consolidation,Current,26.16,305.67,MORTGAGE,Not Verified,10+ years,OK,Medium Income,0
10000,10000, 36 months,13.56,C,C1,65000.0,credit_card,Current,10.62,339.65,MORTGAGE,Not Verified,< 1 year,CA,Medium Income,0
13000,13000, 36 months,14.47,C,C2,55000.0,credit_card,Current,10.58,447.29,MORTGAGE,Verified,10+ years,IL,Medium Income,0
9600,9600, 36 months,23.4,E,E1,65000.0,credit_card,Current,23.01,373.62,RENT,Not Verified,9 years,WV,Medium Income,0
3500,3500, 36 months,20.89,D,D4,40000.0,car,Current,9.09,131.67,MORTGAGE,Source Verified,10+ years,NJ,Low Income,0
16000,16000, 60 months,26.31,E,E4,33000.0,credit_card,Current,33.62,481.99,RENT,Source Verified,< 1 year,SC,Low Income,0
15000,15000, 60 months,14.47,C,C2,30000.0,debt_consolidation,Current,41.6,352.69,MORTGAGE,Source Verified,10+ years,TX,Low Income,0
13000,13000, 36 months,23.4,E,E1,90000.0,other,Current,39.73,505.95,MORTGAGE,Verified,2 years,PA,High Income,0
23000,23000, 60 months,20.89,D,D4,68107.0,debt_consolidation,Current,0.52,620.81,RENT,Source Verified,5 years,KS,Medium Income,0
8000,8000, 36 months,23.4,E,E1,43000.0,debt_consolidation,Current,33.24,311.35,OWN,Source Verified,10+ years,AL,Medium Income,0
32075,32075, 60 months,11.8,B,B4,150000.0,credit_card,Current,22.21,710.26,MORTGAGE,Not Verified,10+ years,VA,Very High Income,0
12000,12000, 60 months,13.56,C,C1,40000.0,debt_consolidation,Current,19.23,276.49,MORTGAGE,Not Verified,< 1 year,PA,Low Income,0
10000,10000, 60 months,19.92,D,D3,80000.0,debt_consolidation,Current,20.67,264.5,MORTGAGE,Not Verified,10+ years,MO,Medium Income,0
16000,16000, 60 months,17.97,D,D1,51000.0,debt_consolidation,Current,21.91,406.04,MORTGAGE,Not Verified,5 years,NC,Medium Income,0
3300,3300, 36 months,23.4,E,E1,49700.0,vacation,Current,14.32,128.44,RENT,Source Verified,3 years,GA,Medium Income,0
20000,20000, 60 months,11.8,B,B4,47590.0,credit_card,Current,9.53,442.88,MORTGAGE,Verified,10+ years,PA,Medium Income,0
3500,3500, 36 months,20.89,D,D4,33190.0,credit_card,Current,19.71,131.67,RENT,Source Verified,10+ years,AZ,Low Income,0
12000,12000, 36 months,26.31,E,E4,19000.0,credit_card,Current,35.88,485.48,OWN,Not Verified,5 years,IL,Low Income,0
10000,10000, 36 months,20.89,D,D4,74000.0,credit_card,Current,11.21,376.19,RENT,Not Verified,7 years,NY,Medium Income,0
6000,6000, 36 months,6.46,A,A1,40000.0,credit_card,Current,12.87,183.79,MORTGAGE,Source Verified,1 year,TX,Low Income,0
25000,25000, 60 months,27.27,E,E5,171000.0,credit_card,Current,14.66,767.43,MORTGAGE,Not Verified,5 years,WA,Very High Income,0
20000,20000, 36 months,12.98,B,B5,74800.0,debt_consolidation,Current,23.5,673.69,RENT,Not Verified,5 years,IL,Medium Income,0
2200,2200, 36 months,15.02,C,C3,70000.0,debt_consolidation,Current,14.16,76.29,RENT,Not Verified,10+ years,NM,Medium Income,0
